	Número de registros en esta consulta:	10	Unnamed: 2	Unnamed: 3	Unnamed: 4
403	7 (A7)	1	0.1		
404	6 (A6)	0	0		
405	5 (A5)	0	0		
406	4 (A4)	1	0.1		
407	3 (A3)	0	0		
408	2 (A2)	0	0		
409	Muy bajo1 (A1)	0	0		
410	Sin respuesta	0	0		
411	No mostrada	0	0		
412					
413					
414	Resumen de campo para D2 [Capacidad para utilizar herramientas especializadas propias de la profesión.][Etiqueta 2]				
